comparison,condition_a,condition_b,qwk_a_mean,qwk_b_mean,qwk_diff_mean,qwk_diff_std,n_seeds,prompts_positive,prompts_total,ci_lower,ci_upper,p_positive
D_STRUCT_vs_D0,D_STRUCT,D0,0.05660036268919063,0.0028199106541174266,0.07106027849740722,0.02786348576293273,3,14,15,0.06441589033581437,0.0778427129598472,1.0
D_STRUCT_vs_D2,D_STRUCT,D2,0.05660036268919063,-0.005654831711906283,0.049575831219817144,0.04422607028249173,3,8,15,0.03907025943309041,0.06004492182564767,1.0
D_STRUCT_vs_D_POS,D_STRUCT,D_POS,0.05660036268919063,0.07999185159198767,0.008176806109029116,0.03496283963822125,3,6,15,-0.002159091885189373,0.018407485661544737,0.9383
D_STRUCT_vs_D_SHUFFLED,D_STRUCT,D_SHUFFLED,0.05660036268919063,0.014091600479193259,0.02578902636753137,0.02627566109645157,3,11,15,0.01789537246137062,0.033505666069676046,1.0
D_STRUCT_vs_D_RANDOM,D_STRUCT,D_RANDOM,0.05660036268919063,0.0023159585195286305,0.03347277072999217,0.031622561529191046,3,12,15,0.025663518193129654,0.04132265423192497,1.0
D_POS_vs_D2,D_POS,D2,0.07999185159198767,-0.005654831711906283,0.041399025110788024,0.04744811726268425,3,12,15,0.03017695998464199,0.052329382863316856,1.0
D_SHUFFLED_vs_D2,D_SHUFFLED,D2,0.014091600479193259,-0.005654831711906283,0.02378680485228578,0.037843740631077295,3,6,15,0.013626599830334844,0.03401063328577532,1.0
