condition,feature_name,feature_family,corr_holistic_score,p_holistic_score,corr_word_count,p_word_count,corr_char_count,p_char_count,corr_sentence_count,p_sentence_count,corr_paragraph_count,p_paragraph_count,corr_component_count,p_component_count,corr_coverage,p_coverage
POS,pos_comp_count,position,0.6554004705933898,0.0,0.5999765954541261,0.0,0.5935417291081877,0.0,0.5421277837764102,0.0,0.24242744002213107,2.876541616857777e-166,0.9999999999999998,0.0,0.09661508006634292,2.9545588787873094e-27
POS,pos_end_rank_0,position,-0.24733327850181008,3.381065439209819e-173,-0.15641374919368972,3.8621177306114143e-69,-0.15112631480653116,1.292766735855917e-64,-0.12127424894117056,4.435688973419016e-42,-0.0818060634996214,5.673889527284653e-20,-0.3574184498305619,0.0,0.006420550956038818,0.4733922930959174
POS,pos_end_rank_1,position,-0.4162381943575632,0.0,-0.31520854009643706,9.834776880384012e-286,-0.30994793081369554,7.407846867471363e-276,-0.2818050797959186,2.2113910371211432e-226,-0.14334276534087495,3.0082833710542575e-58,-0.5063989947133389,0.0,0.0018799292797222183,0.8337253594727687
POS,pos_end_rank_10,position,0.4411555677328723,0.0,0.4226166138723001,0.0,0.41987635721192174,0.0,0.37993118667390463,0.0,0.16457380086527612,1.9261215155709944e-76,0.6902549169909385,0.0,0.07495954244205236,5.190545116138814e-17
POS,pos_end_rank_11,position,0.4281185790357636,0.0,0.42864440917260727,0.0,0.4280397546936453,0.0,0.3713582007990411,0.0,0.1427661681602116,8.631723082889714e-58,0.670753814449504,0.0,0.07129912099799016,1.5625389878079927e-15
POS,pos_end_rank_12,position,0.34916702890042234,0.0,0.3771395502753079,0.0,0.376367274440271,0.0,0.32169454192988833,3.431299071015574e-298,0.12824821721260768,6.859656219648777e-47,0.605870082551697,0.0,0.03822509410288946,1.9543894054306983e-05
POS,pos_end_rank_13,position,0.3196029997234889,3.859434249488903e-294,0.3497330994183411,0.0,0.35180811748370616,0.0,0.29443491018626095,6.815821071025612e-248,0.11239966321714889,2.359378020084184e-36,0.5621973350975873,0.0,0.03527040660197148,8.15620646608354e-05
POS,pos_end_rank_14,position,0.2729647437312683,5.570927889649108e-212,0.312052736048229,8.751751456746001e-280,0.3119827087016198,1.1838199689937533e-279,0.26573140438554177,1.3624972731505974e-200,0.09236583549216408,4.827745883558791e-25,0.49866275495210266,0.0,0.03170725681439557,0.0003977955894609788
POS,pos_end_rank_15,position,0.2100222432136225,2.3780122031456408e-124,0.2551559803518877,1.4263169173814844e-184,0.2561018242212153,5.644701133311907e-186,0.20435481321186516,1.0777988885613734e-117,0.0916028716707413,1.176519703731244e-24,0.42571912621808106,0.0,0.022977839828254916,0.010281855219658399
POS,pos_end_rank_16,position,0.16469709600110005,1.483770367838846e-76,0.21104755324777336,1.4152831830479887e-125,0.21272375390291626,1.3600872240037323e-127,0.1710071428947037,1.7896167232513967e-82,0.0760414321157584,1.8375939821826354e-17,0.3728854159544989,0.0,0.019450991664244126,0.029837736341791606
