comparison,primary_method,t3_qwk,control_mean_qwk,qwk_diff_primary,secondary_ensemble_qwk,qwk_diff_secondary,mean_seed_level_diff,seed_qwk_json
T3_vs_mean_seed_qwk,mean_of_seed_level_qwk,0.8369936656783136,0.8267931416917138,0.010200523986599763,0.828064747327188,0.008928918351125525,0.010200523986599718,"{'RND_s13': 0.8281261777358813, 'RND_s21': 0.8260312709492944, 'RND_s42': 0.8261381945492113, 'RND_s87': 0.828148721616532, 'RND_s101': 0.8255213436076503}"
T3_vs_mean_seed_qwk,mean_of_seed_level_qwk,0.8369936656783136,0.8283547064598427,0.00863895921847091,0.8297527075933355,0.007240958084978044,0.008638959218470932,"{'RB_s13': 0.8284258885874701, 'RB_s21': 0.8275074052860694, 'RB_s42': 0.826781597261018, 'RB_s87': 0.8300328830873085, 'RB_s101': 0.8290257580773472}"
T3_vs_mean_seed_qwk,mean_of_seed_level_qwk,0.8369936656783136,0.8311821834342137,0.005811482244099886,0.831374346678982,0.005619318999331546,0.005811482244099974,"{'TS_s13': 0.8323039436220656, 'TS_s21': 0.8295610326276828, 'TS_s42': 0.8302908289577495, 'TS_s87': 0.8326819251110962, 'TS_s101': 0.8310731868524739}"
