held_out_prompt,condition,n_train,n_test,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,qwk_T2,qwk_T3,qwk_POS,qwk_POS_TRANS,qwk_T3_PLUS_POS,qwk_REAL_BOUNDARY_SHUFFLED_LABEL,qwk_RANDOM_BOUNDARY_TRUE_SEQUENCE,delta_T3_T2,delta_POS_T2,delta_POS_TRANS_T2,delta_T3_PLUS_POS_T2,delta_T3_shuffled,delta_T3_random_boundary,best_condition
Mandatory extracurricular activities,T2,14752.0,839.0,0.7671365489982327,0.5655953838364515,0.4423890457670953,0.636471990464839,0.9892729439809297,,,,,,,,,,,,,,
Mandatory extracurricular activities,T3,14752.0,839.0,0.787072015932056,0.5481124936691583,0.43088551004791087,0.6507747318235996,0.9916567342073898,,,,,,,,,,,,,,
Mandatory extracurricular activities,POS,14752.0,839.0,0.7874983764125211,0.5451112619805416,0.427383039478578,0.6555423122765197,0.9928486293206198,,,,,,,,,,,,,,
Mandatory extracurricular activities,POS_TRANS,14752.0,839.0,0.7968942895494323,0.5458711521138454,0.428313505698625,0.6686531585220501,0.9928486293206198,,,,,,,,,,,,,,
Mandatory extracurricular activities,T3_PLUS_POS,14752.0,839.0,0.79985655193472,0.5371838778793421,0.42036146248120027,0.66388557806913,0.9928486293206198,,,,,,,,,,,,,,
Mandatory extracurricular activities,REAL_BOUNDARY_SHUFFLED_LABEL,14752.0,839.0,0.7789294613052451,0.5590438601607945,0.44140077865280125,0.6436233611442194,0.9916567342073898,,,,,,,,,,,,,,
Mandatory extracurricular activities,RANDOM_BOUNDARY_TRUE_SEQUENCE,14752.0,839.0,0.7730431901281587,0.5608984559319901,0.44075861327622357,0.6460071513706794,0.9892729439809297,,,,,,,,,,,,,,
Phones and driving,T2,14893.0,698.0,0.7320889447598635,0.584799060597849,0.47312004249059386,0.5859598853868195,0.995702005730659,,,,,,,,,,,,,,
Phones and driving,T3,14893.0,698.0,0.7401822261262909,0.593773660378968,0.4854489755786057,0.5988538681948424,0.995702005730659,,,,,,,,,,,,,,
Phones and driving,POS,14893.0,698.0,0.7450587523219168,0.5696443605848852,0.4632852245336843,0.6203438395415473,0.9928366762177651,,,,,,,,,,,,,,
Phones and driving,POS_TRANS,14893.0,698.0,0.7482676009170768,0.5656671744854785,0.45854776764103106,0.6160458452722063,0.994269340974212,,,,,,,,,,,,,,
Phones and driving,T3_PLUS_POS,14893.0,698.0,0.7485720166726701,0.5705002257573338,0.46617359152896803,0.6117478510028653,0.995702005730659,,,,,,,,,,,,,,
Phones and driving,REAL_BOUNDARY_SHUFFLED_LABEL,14893.0,698.0,0.7221330326120722,0.5935333868668066,0.47964383447727615,0.5916905444126075,0.9928366762177651,,,,,,,,,,,,,,
Phones and driving,RANDOM_BOUNDARY_TRUE_SEQUENCE,14893.0,698.0,0.7380517133614207,0.5766325722158419,0.4667761849812098,0.6017191977077364,0.995702005730659,,,,,,,,,,,,,,
Seeking multiple opinions,T2,14047.0,1544.0,0.6668280747752588,0.6935625272421112,0.5675187540980513,0.5012953367875648,0.977979274611399,,,,,,,,,,,,,,
Seeking multiple opinions,T3,14047.0,1544.0,0.6830252755817837,0.6648590332826796,0.5419461477935706,0.5168393782383419,0.9838082901554405,,,,,,,,,,,,,,
Seeking multiple opinions,POS,14047.0,1544.0,0.6896515816897657,0.6557397151881299,0.5323651686949123,0.5317357512953368,0.9838082901554405,,,,,,,,,,,,,,
Seeking multiple opinions,POS_TRANS,14047.0,1544.0,0.6879354192201279,0.658423985519151,0.5341392360321668,0.5310880829015544,0.9825129533678757,,,,,,,,,,,,,,
Seeking multiple opinions,T3_PLUS_POS,14047.0,1544.0,0.6950465109293174,0.6458386277488897,0.5234748450189823,0.5369170984455959,0.9851036269430051,,,,,,,,,,,,,,
Seeking multiple opinions,REAL_BOUNDARY_SHUFFLED_LABEL,14047.0,1544.0,0.6657482785170407,0.6836316778801447,0.5600907253120299,0.49676165803108807,0.9799222797927462,,,,,,,,,,,,,,
Seeking multiple opinions,RANDOM_BOUNDARY_TRUE_SEQUENCE,14047.0,1544.0,0.6647905398848577,0.6888060656508272,0.563102418464453,0.49740932642487046,0.9792746113989638,,,,,,,,,,,,,,
Summer projects,T2,14716.0,875.0,0.7287188603883361,0.6017759970921716,0.46249810802262015,0.6274285714285714,0.9828571428571429,,,,,,,,,,,,,,
Summer projects,T3,14716.0,875.0,0.7422484352821024,0.5873753208258102,0.45048534804260526,0.6377142857142857,0.984,,,,,,,,,,,,,,
Summer projects,POS,14716.0,875.0,0.7414366445107308,0.5847681935380985,0.4503068324369694,0.632,0.9851428571428571,,,,,,,,,,,,,,
Summer projects,POS_TRANS,14716.0,875.0,0.7479856805603314,0.5844000318446282,0.45129413466312013,0.6342857142857142,0.9862857142857143,,,,,,,,,,,,,,
Summer projects,T3_PLUS_POS,14716.0,875.0,0.7605843457062333,0.5782686478581236,0.4448622894690741,0.6514285714285715,0.9874285714285714,,,,,,,,,,,,,,
Summer projects,REAL_BOUNDARY_SHUFFLED_LABEL,14716.0,875.0,0.7327344220334024,0.5941250939253874,0.45357536111522195,0.6297142857142857,0.9828571428571429,,,,,,,,,,,,,,
Summer projects,RANDOM_BOUNDARY_TRUE_SEQUENCE,14716.0,875.0,0.7294837003194669,0.5917655456880925,0.4552665882881263,0.6182857142857143,0.9851428571428571,,,,,,,,,,,,,,
The Face on Mars,T2,14772.0,819.0,0.7081828521260252,0.6159519808358054,0.48584143779971234,0.5860805860805861,0.9853479853479854,,,,,,,,,,,,,,
The Face on Mars,T3,14772.0,819.0,0.7217655228026163,0.6032717217137037,0.47655367823559336,0.6105006105006106,0.9816849816849816,,,,,,,,,,,,,,
The Face on Mars,POS,14772.0,819.0,0.7292020349927619,0.5967323402761799,0.4670483479457683,0.6117216117216118,0.9841269841269841,,,,,,,,,,,,,,
The Face on Mars,POS_TRANS,14772.0,819.0,0.7333903242673483,0.5981123959262958,0.46683766050343545,0.6166056166056166,0.9841269841269841,,,,,,,,,,,,,,
The Face on Mars,T3_PLUS_POS,14772.0,819.0,0.7319386889010935,0.5949307621765342,0.4664833938447153,0.6153846153846154,0.9841269841269841,,,,,,,,,,,,,,
The Face on Mars,REAL_BOUNDARY_SHUFFLED_LABEL,14772.0,819.0,0.7208684093929996,0.6043538996806522,0.4749689320337696,0.608058608058608,0.9841269841269841,,,,,,,,,,,,,,
The Face on Mars,RANDOM_BOUNDARY_TRUE_SEQUENCE,14772.0,819.0,0.7250196795408954,0.6007950185709063,0.4733509242462793,0.6043956043956044,0.9865689865689866,,,,,,,,,,,,,,
