condition,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,ridge_alpha
POS_residualized,0.8389346090478773,0.5585353254754375,0.4304985943697454,0.6598268675857647,0.9868547611413915,10.0
TRANS_residualized,0.8307635945763507,0.5669587414278939,0.4384829132858142,0.6457197819814043,0.987495992305226,10.0
T3_residualized,0.8366430009518399,0.5558727205500086,0.4308335847529191,0.6543764026931709,0.9887784546328952,10.0
